Individual ID	Coverage	Purity	Mutation Type	Original Events	Events 100X	Sensitivity 100X	Events 80X	Sensitivity 80X	Events 60X	Sensitivity 60X	Events 30X	Sensitivity 30X
IID_H135073	104	0.66844	Indels	615			578	0.9398373983739837	569	0.9252032520325203	509	0.8276422764227642
IID_H135073	104	0.66844	SVs	18			18	1.0	17	0.9444444444444444	16	0.8888888888888888
IID_H135074	81	0.41369	SNVs	22652					21663	0.9563393960798163	18974	0.8376302313261522
IID_H135074	81	0.41369	Indels	2893					2591	0.8956100933287245	2080	0.7189768406498445
IID_H135074	81	0.41369	SVs	293					257	0.8771331058020477	167	0.5699658703071673
IID_H135076	87	0.63616	SNVs	1404			1320	0.9401709401709402	1174	0.8361823361823362	987	0.7029914529914529
IID_H135076	87	0.63616	Indels	524			519	0.9904580152671756	505	0.9637404580152672	481	0.9179389312977099
IID_H135076	87	0.63616	SVs	69			64	0.927536231884058	44	0.6376811594202898	29	0.42028985507246375
IID_H133676	69	0.7	SNVs	416					349	0.8389423076923077	243	0.5841346153846154
IID_H133676	69	0.7	Indels	84					74	0.8809523809523809	66	0.7857142857142857
IID_H133676	69	0.7	SVs	5					5	1.0	5	1.0
IID_H134769	103	0.8019	SNVs	1165			1083	0.9296137339055794	1047	0.8987124463519314	980	0.8412017167381974
IID_H134769	103	0.8019	Indels	325			305	0.9384615384615385	297	0.9138461538461539	277	0.8523076923076923
IID_H134769	103	0.8019	SVs	5			4	0.8	4	0.8	4	0.8
IID_H135387	98	0.5522	SNVs	2873			2754	0.9585798816568047	2644	0.9202923773059519	2418	0.8416289592760181
IID_H135387	98	0.5522	Indels	233			220	0.944206008583691	212	0.9098712446351931	187	0.8025751072961373
IID_H135387	98	0.5522	SVs	108			106	0.9814814814814815	104	0.9629629629629629	93	0.8611111111111112
IID_H135393	81	0.8299	SNVs	976					805	0.8247950819672131	732	0.75
IID_H135393	81	0.8299	Indels	324					292	0.9012345679012346	275	0.8487654320987654
IID_H135393	81	0.8299	SVs	9					9	1.0	9	1.0
IID_H135421	149	0.854081121580283	SNVs	10086	8225.0	0.8154868134047194	7649	0.7583779496331549	6849	0.6790600832837597	5233	0.5188379932579814
IID_H135421	149	0.854081121580283	Indels	268	225.0	0.8395522388059702	218	0.8134328358208955	205	0.7649253731343284	145	0.5410447761194029
IID_H135421	149	0.854081121580283	SVs	6	5.0	0.8333333333333334	5	0.8333333333333334	5	0.8333333333333334	4	0.6666666666666666
IID_H135463	76	0.34306	SNVs	3439					3169	0.9214888048851411	2466	0.7170689153823786
IID_H135463	76	0.34306	Indels	224					190	0.8482142857142857	131	0.5848214285714286
IID_H135463	76	0.34306	SVs	41					38	0.926829268292683	15	0.36585365853658536
IID_H135420	127	0.973072300122707	SNVs	4733	4137.0	0.8740756391295161	3827	0.80857806887809	3590	0.7585041200084514	3397	0.7177266004648215
IID_H135420	127	0.973072300122707	Indels	601	581.0	0.9667221297836939	565	0.940099833610649	563	0.9367720465890182	539	0.8968386023294509
IID_H135420	127	0.973072300122707	SVs	41	37.0	0.9024390243902439	37	0.9024390243902439	37	0.9024390243902439	35	0.8536585365853658
IID_H134733	69	0.30535	SNVs	7296					7190	0.9854714912280702	6120	0.8388157894736842
IID_H134733	69	0.30535	Indels	573					531	0.9267015706806283	391	0.6823734729493892
IID_H134733	69	0.30535	SVs	358					328	0.9162011173184358	157	0.43854748603351956
IID_H135467	111	0.74925	SNVs	2254	1980.0	0.878438331854481	1722	0.7639751552795031	1447	0.6419698314108252	1080	0.47914818101153506
IID_H135467	111	0.74925	Indels	126	117.0	0.9285714285714286	109	0.8650793650793651	97	0.7698412698412699	79	0.626984126984127
IID_H135467	111	0.74925	SVs	1	1.0	1.0	1	1.0	1	1.0	1	1.0
IID_H108333	114	0.89534	SNVs	4275	4039.0	0.9447953216374269	3829	0.8956725146198831	3591	0.84	3246	0.7592982456140351
IID_H108333	114	0.89534	Indels	646	628.0	0.9721362229102167	616	0.9535603715170279	606	0.9380804953560371	571	0.8839009287925697
IID_H108333	114	0.89534	SVs	40	40.0	1.0	38	0.95	38	0.95	36	0.9
IID_H135459	90	0.38	SNVs	454			382	0.8414096916299559	300	0.6607929515418502	203	0.44713656387665196
IID_H135459	90	0.38	Indels	22			18	0.8181818181818182	12	0.5454545454545454	9	0.4090909090909091
IID_H135459	90	0.38	SVs	9			9	1.0	8	0.8888888888888888	4	0.4444444444444444
IID_H135466	103	0.64675	SNVs	17840			16484	0.9239910313901345	15701	0.8801008968609866	13832	0.7753363228699551
IID_H135466	103	0.64675	Indels	90246			84793	0.939576269308335	81728	0.9056135451986792	71628	0.7936972275779536
IID_H135466	103	0.64675	SVs	44			40	0.9090909090909091	34	0.7727272727272727	26	0.5909090909090909
IID_H135973	106	0.54918	SNVs	3467	3273.0	0.9440438419382752	2876	0.8295356215748486	2467	0.7115661955581194	1877	0.5413902509374099
IID_H135973	106	0.54918	Indels	206	200.0	0.970873786407767	187	0.9077669902912622	173	0.8398058252427184	133	0.6456310679611651
IID_H135973	106	0.54918	SVs	26	24.0	0.9230769230769231	21	0.8076923076923077	17	0.6538461538461539	12	0.46153846153846156
IID_H135963	91	0.9353	SNVs	3780			3685	0.9748677248677249	3505	0.9272486772486772	3209	0.8489417989417989
IID_H135963	91	0.9353	Indels	1000			951	0.951	914	0.914	846	0.846
IID_H135963	91	0.9353	SVs	18			16	0.8888888888888888	16	0.8888888888888888	16	0.8888888888888888
IID_H135967	99	0.66531	SNVs	22945			22528	0.9818261059054261	22079	0.9622575724558727	20804	0.9066899106559163
IID_H135967	99	0.66531	Indels	2724			2587	0.9497063142437592	2493	0.9151982378854625	2202	0.8083700440528634
IID_H135967	99	0.66531	SVs	509			487	0.9567779960707269	453	0.8899803536345776	378	0.7426326129666012
IID_H135988	113	0.72964	SNVs	1534	1295.0	0.8441981747066493	1050	0.6844850065189049	815	0.5312907431551499	519	0.33833116036505867
IID_H135988	113	0.72964	Indels	59	54.0	0.9152542372881356	44	0.7457627118644068	41	0.6949152542372882	29	0.4915254237288136
IID_H135988	113	0.72964	SVs	2	1.0	0.5	1	0.5	1	0.5	1	0.5
IID_H135990	108	0.9018	SNVs	7092	6887.0	0.9710941906373378	6576	0.9272419627749577	6274	0.8846587704455725	5913	0.833756345177665
IID_H135990	108	0.9018	Indels	1419	1393.0	0.981677237491191	1353	0.9534883720930233	1312	0.9245947850599013	1244	0.8766737138830162
IID_H135990	108	0.9018	SVs	113	105.0	0.9292035398230089	101	0.8938053097345132	96	0.8495575221238938	87	0.7699115044247787
IID_H136062	78	0.811355603669256	SNVs	808					716	0.8861386138613861	610	0.754950495049505
IID_H136062	78	0.811355603669256	Indels	230					205	0.8913043478260869	181	0.7869565217391304
IID_H136062	78	0.811355603669256	SVs	34					33	0.9705882352941176	31	0.9117647058823529
IID_H136134	99	0.902112934505414	SNVs	15016			14477	0.9641049547149707	14129	0.9409296750133191	13453	0.8959110282365477
IID_H136134	99	0.902112934505414	Indels	1055			1012	0.9592417061611375	987	0.9355450236966825	889	0.842654028436019
IID_H136134	99	0.902112934505414	SVs	40			38	0.95	37	0.925	29	0.725
IID_H136136	128	0.95256	SNVs	1719	1547.0	0.8999418266433973	1490	0.8667830133798721	1420	0.8260616637579988	1341	0.7801047120418848
IID_H136136	128	0.95256	Indels	552	527.0	0.9547101449275363	519	0.9402173913043478	506	0.9166666666666666	466	0.8442028985507246
IID_H136136	128	0.95256	SVs	4	4.0	1.0	4	1.0	4	1.0	4	1.0
IID_H135089	108	0.489505802012406	SNVs	2200	2126.0	0.9663636363636363	1999	0.9086363636363637	1862	0.8463636363636363	1564	0.7109090909090909
IID_H135089	108	0.489505802012406	Indels	128	124.0	0.96875	117	0.9140625	111	0.8671875	79	0.6171875
